"산업별",2025.05,2025.06,2025.07,2025.08,2025.09,2025.10,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4
"* 전기·운수·통신·금융(D,H,J,K)",3768,3766,3794,3766,3781,3776,3120,3113,3111,3164,3169,3141,3125,3151,3225,3299,3336,3408,3418,3449,3467,3443,3475,3509,3526,3574,3606,3643,3727,3699,3710,3767,3780
"J 정보통신업(58~63)",1143,1139,1138,1119,1131,1128,874,861,851,856,848,858,842,838,852,900,915,935,957,986,991,988,1018,1034,1038,1060,1083,1098,1134,1124,1152,1144,1129
